DEAL_ID,FROM_CURRENCY,TO_CURRENCY,TIMESTAMP,AMOUNT
wmwqwezb-9936-4j41-c46q-92220j29rlrf,EUR,LAK,2022-03-23 09:18:24,5.84
znluejzy-6586-4x19-w14t-26612w39bbvu,IDR,LTL,2021-08-23 12:01:49,75.99
zndaafoa-0733-7j49-k63z-25679r70ggik,IRR,PLN,2022-05-12 04:18:58,38.45
wnzexwpl-4330-5o02-f44o-25393q50vemr,COP,CNY,2022-02-09 17:48:43,83.88
dxnpirff-3186-6w60-q54g-30290t42akgj,PHP,BRL,2022-05-21 21:13:58,25.61
eumaaghr-3582-3r57-y78n-63717q25xrmu,CNY,PHP,2022-04-19 00:02:30,61.41
etozvjyy-6374-3f46-y12g-49778d53gnkq,JPY,CNY,2022-04-03 11:50:12,76.67
ielrewev-5533-6c99-l79b-36422z90fbdq,JPY,VND,2021-10-17 01:44:21,82.26
bozsojza-3901-6e75-t30t-70103e24jgkq,EUR,BYR,2021-11-12 18:47:34,4.42
mfruppgc-7728-0e46-n03y-10976g58zmmi,CNY,CNY,2022-01-24 01:56:02,76.42
jmjqibzu-2437-0r06-f60u-34416a21nrle,RUB,CNY,2021-09-17 19:38:18,13.57
aweahtjt-6078-5u50-b33c-62652s63mmkz,XOF,CNY,2022-06-08 06:11:47,98.84
tzxkmzoh-2716-0i01-u87n-17648r67xvza,BRL,MKD,2022-05-13 09:26:23,52.82
lmnyfaaj-2695-2o95-v13o-77805l26mmht,THB,CNY,2021-12-20 17:03:43,78.56
uqtkqexu-5834-4j63-e34q-44306y82aqhm,EUR,HRK,2022-04-02 02:50:01,14.43
xcqgekqx-0852-9i04-b23i-03607a22bpbm,XOF,VND,2021-08-01 07:37:53,21.11
sztmppec-2016-8d20-m90l-68227s37hgde,YER,TND,2021-10-01 19:14:30,29.95
eyqjgapu-1604-1w59-t69s-37194u84gaus,COP,COP,2022-06-12 06:37:49,81.46
gekifnrj-9111-0i75-k69e-60880z74cozt,IDR,CNY,2022-07-08 07:37:03,86.26
eqnrslqj-7466-5j99-a48i-67449h02mnxh,CNY,ARS,2022-01-15 22:04:10,84.57
qpxblrdm-9195-8v58-u35u-11692t80khrl,AZN,THB,2022-02-23 11:24:03,86.56
ydiradcq-1827-5l79-a39r-55389i08rieg,RUB,PHP,2021-08-10 16:17:48,19.81
fgxdvttw-4500-5x36-e23l-61941u72jfsm,CZK,PLN,2022-01-25 19:49:35,46.41
jofvioku-7449-5m82-v57t-03047o92cwyx,CNY,MYR,2022-02-05 11:33:23,84.78
vizvmrnv-4662-7g46-o25w-37573o07afyw,IDR,CNY,2022-04-15 06:21:23,6.9
klczfxul-5477-8u29-n35a-19214g27wtyf,ZAR,MZN,2022-04-28 04:22:44,37.67
qoydmern-1559-0v28-p69m-29935o61xkvp,CNY,SEK,2021-12-12 15:47:38,52.8
rrarcsst-8939-1e34-m78n-90625r94adyu,CNY,PHP,2022-02-25 03:58:26,26.01
eenypzso-6546-1b74-v72h-57200i64ejsm,IDR,EUR,2022-07-05 21:45:49,55.66
lbnxpzyd-0740-0c95-w95d-10306n54ziem,CAD,EUR,2022-03-13 00:06:47,56.65
dlsqzpem-7557-4z33-d91s-04930s23qbws,EUR,PHP,2021-11-19 01:12:05,18.61
dukgpdpm-8985-9f00-r13w-59513y91smbq,BRL,EUR,2022-04-08 12:07:21,57.8
zrrqljnp-4430-8f85-l51c-68404o19jldq,CNY,PHP,2021-12-02 19:24:48,69.97
twbvcmpa-1349-4m28-i04k-10971z45moia,PHP,IDR,2021-12-25 11:28:35,93.39
egkijfgr-9239-8o77-d21i-14908f29hcab,KPW,CNY,2021-08-03 22:23:16,77.66
niczepxb-4272-1o52-r85c-03267d61tewo,EUR,EUR,2022-06-22 16:50:10,78.57
evszmvcd-7232-9v89-j64s-85868u39oblf,CNY,EUR,2021-08-10 12:45:17,49.02
dzcfkrqt-3167-8g55-x82m-68241s87lvlr,SEK,RUB,2021-09-30 18:05:10,82.5
lvuwbvdk-4673-1l24-x64r-28138w08onqq,IDR,AFN,2022-01-03 11:02:42,64.38
dzfwdfdc-6282-7x43-e29p-89222y75rfke,CZK,CNY,2022-05-23 14:59:11,85.27
wgcshoii-8380-6u07-t50u-76440x76hqxb,PLN,IDR,2021-12-29 20:33:17,55.95
vjntqkgr-0805-0b45-s79m-31022c93vcvn,UAH,EUR,2021-08-24 21:42:52,37.24
ctmiwzbk-5841-1k46-s43l-99178m58kiyj,COP,COP,2021-08-28 13:44:35,22.49
hvechzra-1441-0i91-q52z-58974h99zncd,MMK,PEN,2022-02-05 16:03:31,45.34
lqikcbvz-4493-1g49-m97u-32084d03smja,EUR,RUB,2022-03-29 22:54:39,92.0
wjccizzg-2673-0u23-b05f-04418m70ezbe,DOP,JPY,2021-10-20 00:44:57,71.51
